,Unnamed: 0,id,text,twitter_account,favorite_count,retweet_count,is_retweet
22,506,1120357111240638465,Inside The San Diego Church Where Border Patrol Brings Women About To Give Birth https://t.co/Qe5Ao9MH9i https://t.co/f9KqlpDZJ3,BuzzFeed Politics,0,0,No
23,409,1109182976036761600,The Romance Of Mayor Pete In The Season Of Scam https://t.co/7gIlUyHYDu,BuzzFeed Politics,14,7,No
24,921,1460579662267097088,Jaxson Dart will make first start for USC in rivalry game vs. UCLA https://t.co/K6JHli9e38,L.A. Times Sports,5,2,No
25,901,1465840823178874882,Lakers star LeBron James to miss game tonight after entering COVID-19 health protocols https://t.co/L8HHgbQQZv,L.A. Times Sports,1,0,No
26,397,1135850574967033856,Joe Biden Pledges To “Go Well Beyond” Obama With His New Climate Change Plan https://t.co/kA7C00On6Z,BuzzFeed Politics,0,1,No
27,653,998383113750298624,FYI: Andy Cohen Was Actually The Best Part About The Billboard Music Awards And Here Are The Receipts https://t.co/hc9Cj6Ehcm https://t.co/6aTZQOQ6mL,BuzzFeed Arts & Entertainment,20,1,No
28,1124,1413257942401437699,"The deployment will likely begin ""around October"" and involve about 220 Kentucky National Guard members to provide operational and logistics support.
       https://t.co/mcKxTq9x8g",USA TODAY Politics,1,0,No
29,517,1045044108207611904,A Top Trump Official Is Worried The EPA Will “Disappear” The Office Of Children’s Health https://t.co/i8HaDjz4OF https://t.co/r3t8PbWz2q,BuzzFeed Politics,0,2,No
30,499,1055099651915837440,Kamala Harris Has Cult Status In Iowa After The Kavanaugh Hearings https://t.co/cgiY4tMYyM,BuzzFeed Politics,5,1,No
31,207,1123452119028326400,He's just the 17th pitcher -- and 3rd lefty -- to reach the milestone in MLB history. https://t.co/McnXPm82Hr https://t.co/RWl1p6RRhU,HuffPost Sports,1,0,No
32,1232,1430940392120324099,"The explosions come after the State Department on Wednesday night alerted Americans at gates of the chaotic Kabul airport to ""leave immediately.""

       https://t.co/m439K5WIyI",USA TODAY Politics,1,1,No
33,1100,1425830726381965317,"Gilead Sciences produces remdesivir, an antiviral drug that has been used to treat COVID-19. Kelley Paul invested in Gilead Sciences on Feb. 26, 2020.

       https://t.co/rv7fIZgaQ8",USA TODAY Politics,6,2,No
34,1072,1426191063123906561,Review: Murder most modern: A present-day 'Hamlet' throws in some twists and a lot of fun https://t.co/hRbxPgfdAp,LAT Entertainment,1,1,No
35,1207,1428125850122260484,"The Deputy Secretary of State said the U.S. ""will be vigilant"" in monitoring the Taliban's treatment of women and girls in Afghanistan.

       https://t.co/wpxoYoYU8R",USA TODAY Politics,1,1,No
36,40,1460395818318499857,The former White House aide’s podcast mates complained that he had to wear handcuffs while awaiting his court hearing on criminal contempt charges. https://t.co/5Jf2zWYe6K,HuffPost Politics,22,3,No
37,538,1296221675294535682,Donald Trump Just Praised QAnon For The First Time https://t.co/wo4pMCCNSg,BuzzFeed Politics,4,4,No
38,116,1432805560194322439,The unidentified customer also reportedly returned to the restaurant the next day and threatened to kill employees. https://t.co/XVAKQbfm6B,HuffPost Politics,9,10,No
39,602,667749933240467456,A moment of magic from Messi in the 2011 UCL semi-final against Real Madrid. #ElClásico https://t.co/UaJS9OpMnz,BuzzFeed Sports,61,48,No
40,1335,1448870527066587136,"The Dodgers win 2-1, outlasting the #SFGiants in an epic game",USA TODAY Sports,0,18,Yes
41,436,1289612298210902020,There's Growing Panic That Trump Will Rush A Vaccine To Save His Presidency. That's Unlikely. https://t.co/3oc0y9Eftr,BuzzFeed Politics,2,1,No
42,5,1453949154355396620,"The ""Late Show"" host has a simple way of handling the social network and its upcoming ""metaverse."" https://t.co/PXn8tYeBOn",HuffPost Politics,6,2,No
43,938,1459009589773406209,Adebayo may have checked out but Miami is still not missing a single thing. They're up to 66% shooting in this first quarter and lead by 15.,L.A. Times Sports,0,2,Yes
44,44,1420744595818745858,"Shakira, 44, denied any wrongdoing when she testified in June 2019. https://t.co/15cVsjPFL4",HuffPost Politics,4,2,No
45,119,1461406480607948811,"Nearly 20% of AAPI people say they’ve experienced a racist incident in the past year, according to a new survey from the coalition Stop AAPI Hate. https://t.co/GCcRV4YHCB",HuffPost Politics,6,5,No
46,1127,1461407123276025868,"Harris said she and Biden have not been discussing the 2024 election and she declined to say if he has told her whether he will seek a second term.

       https://t.co/WNspJJfm54",USA TODAY Politics,2,0,No
47,950,1456442400705064982,Why the Chargers aren't worried about Keenan Allen's pass-catching woes https://t.co/6SzmXAridu,L.A. Times Sports,4,1,No
48,1358,1431108018846973954,"The only thing more terrifying than #Candyman, a half-dead boogeyman, covered in bees with a hook for a hand, brutally murdering people who say his name five times, is the reason he came to be that way: racism. https://t.co/7J6cnXAiHA",USA TODAY Life,1,1,No
49,732,1426302579672236035,Will Taliban surge in Afghanistan hurt Biden? Or are Americans done with the war? https://t.co/BiHAVTCUxd,L.A. Times Politics,1,1,No
50,846,1415044362774487042,Biden vows to protect 'sacred' right to vote from GOP limits https://t.co/BRkUvqJF6J,L.A. Times Politics,0,1,No
51,30,1455383891053793281,"Tim Miller calls on Republicans to ""show some balls"" and work against the former president now, while there's still time. https://t.co/UBwdhgj6sr",HuffPost Politics,95,22,No
52,1060,1430992700573159432,Why 'Even Stevens' star Christy Carlson Romano no longer talks to Shia LaBeouf https://t.co/GGpvSrFhwy,LAT Entertainment,2,1,No
53,371,1083374167183941635,Here’s Trump Allies’ Plan To Meddle In The 2020 Democratic Primary https://t.co/tZOoopOEl3 https://t.co/htPicxd0q5,BuzzFeed Politics,1,1,No
54,523,1386739943897280516,It’s the second investigation launched by DOJ into civil rights abuses by police in the past week. https://t.co/BjoXJrnJ8g,BuzzFeed Politics,2,0,No
55,296,1404802470405156870,Soccer player Christian Eriksen's recent collapse is a reminder to learn this lifesaving technique. https://t.co/DvyeYZhqW7,HuffPost Life,2,2,No
56,416,1220806615449759745,A Senator Wants To “Unilaterally” Release Information On Jamal Khashoggi’s Killing If The Trump Administration Won’t https://t.co/CfNtSYzU20,BuzzFeed Politics,4,2,No
57,1097,1405132847841693697,"Biden's first trip abroad as president ends with talks with the Russian president expected to focus on nuclear arms, cyber attacks and human rights. https://t.co/1x98Bi8sTV",USA TODAY Politics,1,0,No
58,709,1007712502245818368,26 Emo And Pop-Punk Songs You Need On Your Workout Playlist https://t.co/Ei5hJd6tLY https://t.co/euyjAhOcoG,BuzzFeed Arts & Entertainment,7,3,No
59,528,1068254798699421697,The Democratic House Will Defend Obamacare Against A Major Lawsuit Because The Trump Administration Won’t https://t.co/wRlVr6axEl https://t.co/3hvGfB2rl8,BuzzFeed Politics,3,1,No
60,298,1421918024064512011,The sunshine state is now leading the nation in per capita hospitalizations. This follows Florida on Saturday recording the most new daily cases since the pandemic's start. https://t.co/aMBzSvAMLn,HuffPost Life,0,1,No
61,379,1367497692071485442,"“Like a moth to the flame,” one former Oath Keeper said of founder Stewart Rhodes. “He flies in, throws up a PayPal, and then disappears.” https://t.co/EMZ4YwMgNl",BuzzFeed Politics,0,0,No
62,916,1459381390928011264,"Anthony Davis has 16 points, Rajon Rondo 7 points and 5 assists and Russell Westbrook 7 points to help Lakers open 49-44 lead over Minny at the half.",L.A. Times Sports,0,10,Yes
63,788,1400527995589255168,Unusual Supreme Court majority narrows scope of anti-hacking computer law https://t.co/zmipaeLQG2,L.A. Times Politics,0,1,No
64,1230,1410297080275406853,An economic analysis of the bipartisan infrastructure deal that President Joe Biden embraced is more positive than a similar review of Biden's original plan. https://t.co/4wXDHzDb6U,USA TODAY Politics,1,1,No
65,1252,1437461074425569291,"North Korea says it successfully test-fired newly developed long-range cruise missiles over the weekend, its first known testing activity in months. https://t.co/H6cP9Clobi",USA TODAY Politics,3,2,No
66,345,1411265757909037056,Daily new case numbers are already climbing sharply in countries like the United Kingdom and Portugal -- triggering alarm across the continent. https://t.co/BAQ0rrd6JE,HuffPost Life,1,0,No
67,12,1425089288417550338,"“It’s undeniable that this movement causes harm,” said filmmaker Kristine Stolakis, whose late uncle hoped to ""cure"" his trans identity with reparative therapy. https://t.co/pAr6pzi4g4",HuffPost Politics,5,3,No
68,270,1401570211619344391,"The Duke and Duchess of Sussex welcomed Lilibet “Lili” Diana on Friday, a Sussex spokesperson said. https://t.co/nCHUpDii1N",HuffPost Life,21,3,No
69,260,1193240180305661955,"“I was told I was too fat and ‘had the biggest butt on the starting line.’ This brings those painful memories back,” said 2008 Olympian Yoder Begley. https://t.co/rAM3u6qEf8 https://t.co/VO9Ow8ToY1",HuffPost Sports,1,0,No
70,1351,1417477166736965632,"We love to see it. @RyanReynolds recalls making the first move on wife @blakelively. 

https://t.co/g1CArKxi3i",USA TODAY Life,1,0,No
71,402,1150894338286608384,"""The Squad” Condemns Trump’s Racist Tweets: “This Is The Agenda Of White Nationalist[s]” https://t.co/r6pe9VFbuf",BuzzFeed Politics,6,4,No
72,687,1162013390308610048,.@MarlonWayans talks about finally getting to make his film #Sextuplets after a cool 7-8 years https://t.co/2EoOnFbxyz,BuzzFeed Arts & Entertainment,0,4,Yes
73,1173,1458216848206573571,"While not mentioning Trump or other Republicans by name, Cheney decried ""a domestic threat"" that the nation has ""never faced before.""
       https://t.co/loLNlpBn8l",USA TODAY Politics,7,6,No
74,1220,1451299758677512192,"President Biden and Vice President Kamala Harris marked the 10th anniversary of the opening of the Martin Luther King, Jr. Memorial on the National Mall. https://t.co/Q8XkOzRvyt https://t.co/E9cBNT9Iq9",USA TODAY Politics,5,2,No
75,80,1430024717205970946,"Even so, the final results on the 2020 presidential election recount won't be ""worth the paper they're printed on,"" said Arizona Secretary of State Katie Hobbs. https://t.co/JRCkJlibSQ",HuffPost Politics,12,5,No
76,1393,1426222848960434176,FINALLY! https://t.co/9XGy6LcCj9 https://t.co/1vmLsUN7ec,USA TODAY Life,1,1,No
77,1125,1430915735489064962,"Details are still emerging about the explosion, which the Pentagon announced Thursday morning amid warnings about the threat of a terrorist attack.

       https://t.co/BdZnuoQ0Nz",USA TODAY Politics,0,0,No
78,275,1440731547233964040,Dr. Hasan Gokal said he didn't want any doses to go to waste. Harris County called it theft. https://t.co/G4AspSYnOd,HuffPost Life,1,0,No
79,48,1422826270040199168,Pete Parada said he's worried the vaccine can worsen his Guillain-Barré Syndrome. https://t.co/U6Pi3eR09N,HuffPost Politics,9,3,No
80,670,994364359018070017,"28 Shows Premiering On Netflix, Amazon, Hulu, And HBO This Summer https://t.co/pJTOWPF8ud https://t.co/rEpLxSGeXy",BuzzFeed Arts & Entertainment,18,5,No
81,501,1191443885257416704,Jennifer Riley Collins Could Make History This Week As The First Black Woman Elected Statewide In Mississippi https://t.co/uUwWX8jlyi https://t.co/OIvUJlWJnL,BuzzFeed Politics,4,1,No
82,341,1391030667178352642,"""What my daughter and the other trans children need is for adults to get loud and to do the heavy lifting because they are only kids."" https://t.co/rYJBNB5PA1",HuffPost Life,3,0,No
83,646,1010182143614464001,15 Celebrity Tweets You Missed This Week https://t.co/pdwZcdXgEn https://t.co/5jAd1hQQeg,BuzzFeed Arts & Entertainment,1,0,No
84,865,1298697724649443329,"All the times Republicans breached federal ethics at the RNC, according to experts https://t.co/io4H9Ggvfn",L.A. Times Politics,0,0,No
85,1073,1458186293968506880,"Vicky and Marisol, the Terrazas sisters, announce the separation of Los Horóscopos de Durango https://t.co/aZoBa60711",LAT Entertainment,3,1,No
86,4,1445844823328497672,"Soon everyone entering bars, restaurants, nail salons and gyms will need to show proof of vaccination. https://t.co/EoVWWOxksK",HuffPost Politics,41,12,No
87,285,1448192424178814984,"""This announcement will provide great relief to those waiting to see friends and loved ones,"" Sen. Maria Cantwell said. https://t.co/PnKzGY9fH7",HuffPost Life,0,0,No
88,47,1446011618354241537,"“There is no other option,"" Hayes mocked the Fox News personality. “I believe in you."" https://t.co/HWuxFZhLe4",HuffPost Politics,14,5,No
89,151,1465453010579083272,An official with the labor board said Amazon tainted the election process by installing a mailbox onsite for ballots. https://t.co/kOiyCYqIef,HuffPost Politics,8,3,No
90,1195,1428063847181660162,"State Department officials give updates on Afghanistan, days after Taliban take over Kabul.  https://t.co/60tLeAw4TQ",USA TODAY Politics,0,27,Yes
91,219,867090496765775876,"Text from @cliffavril re @mosesbread72: “Mike is a special person because he won’t let anyone change his opinion on what really matters.""",HuffPost Sports,0,6,Yes
92,562,684532839740796928,"This guy HAD to be trolling, right? (Via @seth_rosenthal) https://t.co/MeEKoP9Ljz",BuzzFeed Sports,80,64,No
93,340,1393245824184983558,Sometimes people do change their minds. Here's why these individuals eventually got their COVID-19 shots. https://t.co/gLuCcaK5Hf,HuffPost Life,1,4,No
94,1272,1448400005677604865,"New College Football Fix podcast on espionage at Oklahoma, the value of backup quarterbacks, Alabama’s margin for error and whether Iowa is a legit No. 2 https://t.co/WmwtV34EHH",USA TODAY Sports,0,1,Yes
95,1088,1465516200667062277,"Records are shedding new light on CNN's Chris Cuomo's role in advising brother Andrew, showing he used ""sources"" to look into his accusers.

       https://t.co/hiuRZBWpZg",USA TODAY Politics,11,7,No
96,827,1466135057077309450,Biden plays it safe in face of uncertain Omicron threat https://t.co/ItEL3y3T4g,L.A. Times Politics,0,0,No
97,59,1442623243442167809,Armando Manuel Caballero was seen entering the 19-year-old's apartment shortly before she went missing. https://t.co/PrEp53yzDe,HuffPost Politics,14,10,No
98,316,1410726972208992259,Do you have to do your job in excessive heat? Here's what federal law says. https://t.co/gu36rKn3rr,HuffPost Life,0,1,No
99,209,1141425632158670848,John Cena is one dollar poorer thanks to this Padres rookie pitcher. https://t.co/SsIytgK83O https://t.co/PL6f7wGPcA,HuffPost Sports,0,0,No
100,611,657310095940960256,The 2015-16 @NBA season tips off Tuesday October 27 on TNT! https://t.co/IAp0oU1kUz https://t.co/AIBP81EL3P,BuzzFeed Sports,22,20,No
101,1406,1406662670753935360,"Jill Biden (@FLOTUS) celebrated her husband Joe Biden (@POTUS) on Father's Day in a social media post that paid tribute to their family and expressed sympathy for those ""missing their dads today."" https://t.co/hADvqbXrMs",USA TODAY Life,3,0,No
102,1077,1443321440426729476,Review: Beck celebrates his many guises at homecoming show https://t.co/GvL7Ei2zBt,LAT Entertainment,1,1,No
103,457,1063811264260886528,The Media Wants Congress To Let It Gang Up On Facebook And Google https://t.co/gxQ972cp8m,BuzzFeed Politics,0,0,No
104,1278,1465015129754390529,"The NFC East clash between the @Eagles and @Giants pits rivals going in opposite directions. Tony Anderson and @art_stapleton assess the keys to the game and the smartest bet, courtesy of @tipico. https://t.co/7lsgMB7il1",USA TODAY Sports,1,2,No
105,193,828648801648906240,"Update: Seahawks beat the #Patriots, Rams beat the Seahawks, 49ers beat the Rams twice -- 49ers are #SuperBowl champs! #alternativefacts",HuffPost Sports,0,8,Yes
106,922,1459250900418150408,Les Snead thrilled Rams players were ones who won over Odell Beckham Jr. https://t.co/UDo75blVX4,L.A. Times Sports,2,0,No
107,1434,1415519460308316160,"It's been 20 years (!) since #LegallyBlonde premiered. Here's how @ReeseW's Elle Woods inspired an entire generation of law students... ""What, like it's hard?""
https://t.co/ow44oSLjIS",USA TODAY Life,0,1,Yes
108,819,1407352899370422272,Activists plan pressure campaign as GOP to block Senate passage of Democrats' voting-rights bill https://t.co/ziBsAKJhaU,L.A. Times Politics,0,1,No
109,836,1444663658408202240,One Puerto Rican’s quest for statehood leads to a racial awakening https://t.co/fCDfShyby7,L.A. Times Politics,2,0,No
110,138,1450528186366898183,Donald Trump frequently left the White House to visit his properties and play golf. https://t.co/lm6ER6QPi5,HuffPost Politics,12,10,No
111,779,1364560762199490560,"McManus: Joe Manchin drives Democrats crazy, but they need more senators like him https://t.co/6U70IAhW2R",L.A. Times Politics,0,0,No
112,601,660181676278976512,"William Gay's mom was murdered by his stepdad, so he wears purple cleats to raise DV awareness

NFL fines him for it https://t.co/TjAaeMM6FD",BuzzFeed Sports,193,270,No
113,1394,1390037245655064576,"Josh Duggar admitted to past inappropriate behavior with minors. Treatment in this area is complex, controversial. https://t.co/cOIlY5Sl97 via @SaraMoniuszko",USA TODAY Life,0,1,Yes
114,232,869254850592342016,Legendary sportswriter Frank Deford dead at 78 https://t.co/sOr42vnPYf https://t.co/v5qEAgmryX,HuffPost Sports,1,3,No
115,1308,1463715740348039168,Auburn basketball great Charles Barkley expressed disappointment in injured Tigers quarterback Bo Nix's comments about SEC officials favoring Alabama. https://t.co/VzlUqT8ahH,USA TODAY Sports,4,1,No
116,420,1164966547204427776,A Powerful Catholic Group Is Facing Allegations of Insurance Fraud https://t.co/cc7p4mnz84 https://t.co/CwNV7Lwgjl,BuzzFeed Politics,0,0,No
117,320,1458751528303566857,"Celebrate Singles' Day with MeUndies and get 50% off all onesies, going on today and Friday only! https://t.co/ZwDGC2C5xA",HuffPost Life,0,0,No
118,328,1451302192590344199,"Supply chain issues are out of your control, but there are ways to make the process easier. https://t.co/pqs9XL2FTS",HuffPost Life,1,0,No
119,680,1000879054914912257,"35 Facts That Every ""Golden Girls"" Fanatic Should Know https://t.co/4qhBMbhK5d https://t.co/Bc62W1zyMj",BuzzFeed Arts & Entertainment,23,12,No
120,758,1294349069859672064,Essential Politics: Harris’ job is to make Biden look good. It’s working. https://t.co/188YfqLEYo,L.A. Times Politics,2,1,No
121,983,1460683468401102852,⚡️ “Is it time for the Dodgers to hit the reset button on their roster?” by @latimessports https://t.co/uAMLAwxCVV,L.A. Times Sports,3,1,No
122,302,1436321162519326728,"""sorry I’m late, my cat and I were exchanging slow blinks"" https://t.co/kDCSzq4qEJ",HuffPost Life,0,0,No
123,1270,1448288666464423941,"De'van Bogard, 27, was a member of Urban Meyer’s first recruiting class at Ohio State out of Glenville High School in Cleveland. https://t.co/Rt5LfMalHt https://t.co/Rt5LfMalHt",USA TODAY Sports,3,3,No
124,467,1308178928100614145,This Progressive Candidate Wants To Lead The Fight To Expand The Supreme Court In Congress https://t.co/PVC0MFVSek,BuzzFeed Politics,2,1,No
125,277,1409522287234146313,"A new rom-com, a Kevin Hart movie and several animated films also made the ranking. https://t.co/yKlRbvvlRH",HuffPost Life,0,0,No
126,577,642165919234531328,@BuzzFeedSports @BuzzFeed https://t.co/vqJohaJoAg,BuzzFeed Sports,0,152,Yes
127,456,1291666483265904640,TikTok Said It Will Fight Trump’s Executive Order Threatening To Ban It https://t.co/udHy3JGzbm,BuzzFeed Politics,2,0,No
128,1364,1449435800756699137,I talked with the latest victim of Michael Myers in #HalloweenKills and we had a fun little exit interview. (SPOILERS AHOY.) https://t.co/L4Wor74IZN,USA TODAY Life,0,1,Yes
129,1003,1424056492789993475,Jennifer Hudson knew she had her work cut out for her when she agreed to play the Queen of Soul. “You just can’t wake up one morning and decide ‘I’m gonna be Aretha Franklin.’” https://t.co/2JGDxnpC1d,LAT Entertainment,5,3,No
130,534,1045673004624048129,"Sen. Jeff Flake, A Swing Vote, Says He'll Vote For Kavanaugh Following Sexual Assault Allegations https://t.co/CcAsZdtduF",BuzzFeed Politics,2,0,No
131,992,1449092568717791234,"Listener @frankadirector has joined our Spaces chat to share his experience as a SAG and DGA member. 

Share your story with us &amp; join the chat 📽️ https://t.co/GWLx2fLptT",LAT Entertainment,0,7,Yes
132,599,658750824651300865,🙏ONE DAY UNTIL @NBA IS BACK🙏 https://t.co/pM7nltjx9V,BuzzFeed Sports,49,28,No
133,481,1080574733521870848,An American Man Detained In Russia Has Finally Been Visited By The US Ambassador https://t.co/IeUExaxOYi https://t.co/HdoPuESVMa,BuzzFeed Politics,2,0,No
134,904,1457554725570813955,"Back in gear, Chargers offense has drive to beat Eagles on final possession, 27-24 https://t.co/turDRpLXLd",L.A. Times Sports,0,1,No
135,833,1344031480725573634,Trump lashes out at GOP after override vote on defense bill https://t.co/JYvs74VGEB,L.A. Times Politics,1,0,No
136,583,719918799428927488,🏀🏀🏀🏀🏀🏀 https://t.co/9JMpajXffr,BuzzFeed Sports,3,0,No
137,118,1454933280785063941,The White House press secretary said she last saw the president on Tuesday. https://t.co/s9DvsrCaHg,HuffPost Politics,18,11,No
138,58,1458539444320018441,Consulting firm M.J. Bradley &amp; Associates authored a report ranking the nation’s largest methane polluters. Five of its own industry clients were on the list. https://t.co/DsEcWtT2Ni,HuffPost Politics,0,0,No
139,387,1072995030430695424,"Members Of Congress Who Are Personally Liable For Sexual Harassment Will Be Publicly Named Under A New, Bipartisan Deal https://t.co/ro6sIUZKvE",BuzzFeed Politics,4,5,No
140,844,1324336712840040448,Latino voters tired of being taken for granted by baffled Democratic campaigns https://t.co/9t5iTdUBHx,L.A. Times Politics,1,0,No
141,70,1454556305822257157,Baldwin added that he is in favor of limiting the use of firearms on set after the fatal accidental shooting. https://t.co/uMK5p2jDiv,HuffPost Politics,20,8,No
142,18,1445505664407670792,John Black testified that it was likely the 18-year-old suspect felt threatened by three men trying to take his gun away. https://t.co/vCEYk1BnJ4,HuffPost Politics,3,4,No
143,50,1457774687488933889,Evan Neumann reportedly has applied for asylum in the authoritarian country. https://t.co/bGMf8A4I86,HuffPost Politics,9,11,No
144,215,1116838428983930881,Baseball officials said Mike Trout will be on the new MLB logo if they get 27 million retweets. https://t.co/wOgIiryggd https://t.co/r4WaqlHZ1J,HuffPost Sports,0,1,No
145,612,662109829335523329,Don't hurt em Bron! https://t.co/jcDhUHW6lf,BuzzFeed Sports,9,4,No
146,1404,1438936178565128193,"Lucy Liu in Versace at the 2000 #Emmys. That's it. That's the tweet. https://t.co/GobetvTewi
📸: ImageDirect https://t.co/5bxp1Zeozh",USA TODAY Life,5,2,No
147,530,1346997552525303808,The collective delusion finally reached the level of violence it always threatened. https://t.co/kVHjpS2BYp,BuzzFeed Politics,15,19,No
148,2,1434251996954079232,Same-sex couples can only apply for civil unions in the country. https://t.co/w2mYr84Udw,HuffPost Politics,8,3,No
149,22,1460276987554115593,"The judge at Kyle Rittenhouse’s murder trial has dismissed a count of possession of a dangerous weapon, a charge prosecutors believed would likely net a conviction. https://t.co/uX39P2L2TR",HuffPost Politics,18,21,No
150,1005,1450221906133651456,Brazil's Roberto Carlos announces thirteen-city tour of the U.S. and Canada https://t.co/MucQZLxAiy,LAT Entertainment,1,1,No
151,343,1379317069242568705,"Newly released footage shows Kelly Sills, 47, arguing about having ""paid $15,000"" to visit the resort prior to his February arrest. https://t.co/A9Y9JUCIAt",HuffPost Life,3,0,No
152,1030,1465700911439769604,Caught between two lives in 'C'mon C'mon' https://t.co/GSbJncTDLZ,LAT Entertainment,2,0,No
153,1112,1449114128208089097,"The Department of Homeland Security was forced to restart the program after trying to end it earlier this year. MPP forces migrants to wait in Mexico.
       https://t.co/VsObSHwxX0",USA TODAY Politics,2,1,No
154,994,1450810790940917761,"Fed up with Chappelle fallout, Netflix employees are leading a walkout today in L.A. https://t.co/xf4l41p0Lj",LAT Entertainment,187,30,No
155,268,824587613826904064,Spent a fair amount of time around Roger #Federer last summer. The sense was clear that he NEEDED to be locked in for #AusOpen. But this?!,HuffPost Sports,0,2,Yes
156,1209,1439616072194433027,"Kentucky Sen. Rand Paul and California Sen. Alex Padilla's America's Children Act would help Documented Dreamers, who can face deportation at age 21.

       https://t.co/sJJh6pkmIT",USA TODAY Politics,17,11,No
157,88,1432403959998779394,"Gracyn Courtright, a college senior, bragged about her actions on Jan. 6 on social media. https://t.co/i9smmecUUS",HuffPost Politics,24,19,No
158,988,1460351782840770562,"With guards Kiki Rice and Londynn Jones, forward Gabriela Jaquez and centers Christeen Iwuala and Lina Sontag submitting their national letters of intent last week, the Bruins have what might be their best class ever under coach Cori Close. 

https://t.co/ICyGC4Mq3R",L.A. Times Sports,0,0,No
159,15,1458392915126980609,"Since Texas banned abortion after six weeks of pregnancy, Dr. Joshua Yap has seen an influx of sometimes desperate patients at his Tulsa clinic. https://t.co/whh1FW4TSR",HuffPost Politics,10,5,No
160,1091,1427285559421120514,NEW: Biden will return from Camp David to deliver remarks on Afghanistan from the White House at 3:45 p.m. ET.,USA TODAY Politics,0,4,Yes
